MATCHUP STATISTICS
Bot1,Bot2,TotalGames,Bot1Wins,Bot2Wins,Bot1Winrate,Bot2Winrate,TotalShots,AverageShotsPerGame,TotalHits,TotalMisses,Accuracy,AverageTurnsToWin
Random,Random,100000,50077,49923,50.0770,49.9230,18429530,184.2953,3193447,15236083,17.3279,92.9547
Random,EdgeBias,100000,49460,50540,49.4600,50.5400,18175474,181.7547,3128278,15047196,17.2115,92.0091
Random,CenterBias,100000,45845,54155,45.8450,54.1550,18221921,182.2192,3183204,15038717,17.4691,91.9649
Random,Checkerboard,100000,50664,49336,50.6640,49.3360,18463982,184.6398,3198056,15265926,17.3205,93.1039
Random,HuntTarget,100000,2750,97250,2.7500,97.2500,12115741,121.1574,2659077,9456664,21.9473,64.0348
Random,HybridAdaptive,100000,1363,98637,1.3630,98.6370,9913167,99.1317,2459054,7454113,24.8059,54.0212
EdgeBias,Random,100000,50216,49784,50.2160,49.7840,18181482,181.8148,3128134,15053348,17.2051,92.0408
EdgeBias,EdgeBias,100000,49767,50233,49.7670,50.2330,17917755,179.1775,3055752,14862003,17.0543,91.0851
EdgeBias,CenterBias,100000,46355,53645,46.3550,53.6450,17984400,179.8440,3114731,14869669,17.3191,91.1201
EdgeBias,Checkerboard,100000,50449,49551,50.4490,49.5510,18201425,182.0143,3133454,15067971,17.2154,92.1143
EdgeBias,HuntTarget,100000,4027,95973,4.0270,95.9730,11915602,119.1560,2505811,9409791,21.0297,63.8005
EdgeBias,HybridAdaptive,100000,1685,98315,1.6850,98.3150,9756388,97.5639,2304779,7451609,23.6233,54.0087
CenterBias,Random,100000,53830,46170,53.8300,46.1700,18222482,182.2248,3183850,15038632,17.4721,91.9633
CenterBias,EdgeBias,100000,53784,46216,53.7840,46.2160,17970165,179.7017,3113907,14856258,17.3282,91.0524
CenterBias,CenterBias,100000,50053,49947,50.0530,49.9470,18054965,180.5497,3180196,14874769,17.6140,91.1425
CenterBias,Checkerboard,100000,54574,45426,54.5740,45.4260,18264469,182.6447,3188481,15075988,17.4573,92.1521
CenterBias,HuntTarget,100000,3939,96061,3.9390,96.0610,12160931,121.6093,2748278,9412653,22.5992,63.8145
CenterBias,HybridAdaptive,100000,1789,98211,1.7890,98.2110,10033147,100.3315,2579656,7453491,25.7113,54.0186
Checkerboard,Random,100000,49412,50588,49.4120,50.5880,18463435,184.6344,3197949,15265486,17.3204,93.1020
Checkerboard,EdgeBias,100000,49395,50605,49.3950,50.6050,18213093,182.1309,3133704,15079389,17.2058,92.1707
Checkerboard,CenterBias,100000,45053,54947,45.0530,54.9470,18266313,182.6631,3188308,15078005,17.4546,92.1623
Checkerboard,Checkerboard,100000,50074,49926,50.0740,49.9260,18502714,185.0271,3202936,15299778,17.3106,93.2720
Checkerboard,HuntTarget,100000,2603,97397,2.6030,97.3970,12113539,121.1354,2660316,9453223,21.9615,64.0175
Checkerboard,HybridAdaptive,100000,1376,98624,1.3760,98.6240,9920237,99.2024,2457115,7463122,24.7687,54.0661
HuntTarget,Random,100000,97118,2882,97.1180,2.8820,12102281,121.0228,2658729,9443552,21.9688,63.9691
HuntTarget,EdgeBias,100000,95872,4128,95.8720,4.1280,11926535,119.2653,2506459,9420076,21.0158,63.8523
HuntTarget,CenterBias,100000,95934,4066,95.9340,4.0660,12170083,121.7008,2750869,9419214,22.6035,63.8474
