MATCHUP STATISTICS
Bot1,Bot2,TotalGames,Bot1Wins,Bot2Wins,Bot1Winrate,Bot2Winrate,TotalShots,AverageShotsPerGame,TotalHits,TotalMisses,Accuracy,AverageTurnsToWin
Random,Random,100,46,54,46.0000,54.0000,18359,183.5900,3191,15168,17.3811,92.6000
Random,EdgeBias,100,49,51,49.0000,51.0000,18140,181.4000,3137,15003,17.2933,91.8000
Random,CenterBias,100,44,56,44.0000,56.0000,18207,182.0700,3159,15048,17.3505,92.0700
Random,Checkerboard,100,45,55,45.0000,55.0000,18525,185.2500,3212,15313,17.3387,93.3500
Random,HuntTarget,100,4,96,4.0000,96.0000,11717,117.1700,2623,9094,22.3863,62.2300
Random,HybridAdaptive,100,1,99,1.0000,99.0000,10112,101.1200,2517,7595,24.8912,54.7300
EdgeBias,Random,100,42,58,42.0000,58.0000,18166,181.6600,3112,15054,17.1309,92.0300
EdgeBias,EdgeBias,100,46,54,46.0000,54.0000,17679,176.7900,3027,14652,17.1220,90.0300
EdgeBias,CenterBias,100,49,51,49.0000,51.0000,17967,179.6700,3090,14877,17.1982,91.1500
EdgeBias,Checkerboard,100,43,57,43.0000,57.0000,18235,182.3500,3114,15121,17.0770,92.4000
EdgeBias,HuntTarget,100,3,97,3.0000,97.0000,11961,119.6100,2536,9425,21.2022,63.8600
EdgeBias,HybridAdaptive,100,2,98,2.0000,98.0000,9782,97.8200,2266,7516,23.1650,54.3300
CenterBias,Random,100,52,48,52.0000,48.0000,18145,181.4500,3181,14964,17.5310,91.5800
CenterBias,EdgeBias,100,48,52,48.0000,52.0000,17809,178.0900,3099,14710,17.4013,90.3400
CenterBias,CenterBias,100,52,48,52.0000,48.0000,17831,178.3100,3159,14672,17.7163,90.1700
CenterBias,Checkerboard,100,54,46,54.0000,46.0000,18072,180.7200,3170,14902,17.5409,91.2600
CenterBias,HuntTarget,100,4,96,4.0000,96.0000,12793,127.9300,2775,10018,21.6916,66.8300
CenterBias,HybridAdaptive,100,7,93,7.0000,93.0000,10888,108.8800,2705,8183,24.8439,57.6500
Checkerboard,Random,100,59,41,59.0000,41.0000,18380,183.8000,3209,15171,17.4592,92.6200
Checkerboard,EdgeBias,100,48,52,48.0000,52.0000,18074,180.7400,3124,14950,17.2845,91.5400
Checkerboard,CenterBias,100,48,52,48.0000,52.0000,18425,184.2500,3203,15222,17.3840,92.8800
Checkerboard,Checkerboard,100,56,44,56.0000,44.0000,18428,184.2800,3212,15216,17.4300,92.8600
Checkerboard,HuntTarget,100,6,94,6.0000,94.0000,12656,126.5600,2710,9946,21.4128,66.4800
Checkerboard,HybridAdaptive,100,1,99,1.0000,99.0000,9798,97.9800,2435,7363,24.8520,53.5600
HuntTarget,Random,100,98,2,98.0000,2.0000,12031,120.3100,2629,9402,21.8519,63.7500
HuntTarget,EdgeBias,100,97,3,97.0000,3.0000,12190,121.9000,2529,9661,20.7465,65.0600
HuntTarget,CenterBias,100,100,0,100.0000,0.0000,11963,119.6300,2705,9258,22.6114,63.0400
HuntTarget,Checkerboard,100,100,0,100.0000,0.0000,12019,120.1900,2679,9340,22.2897,63.4500
HuntTarget,HuntTarget,100,48,52,48.0000,52.0000,10876,108.7600,3006,7870,27.6388,56.1200
HuntTarget,HybridAdaptive,100,32,68,32.0000,68.0000,9443,94.4300,2947,6496,31.2083,49.2000
HybridAdaptive,Random,100,100,0,100.0000,0.0000,9801,98.0100,2467,7334,25.1709,53.4200
HybridAdaptive,EdgeBias,100,98,2,98.0000,2.0000,9926,99.2600,2302,7624,23.1916,54.8600
HybridAdaptive,CenterBias,100,98,2,98.0000,2.0000,10192,101.9200,2596,7596,25.4710,54.7200
HybridAdaptive,Checkerboard,100,97,3,97.0000,3.0000,9966,99.6600,2483,7483,24.9147,54.1600
HybridAdaptive,HuntTarget,100,71,29,71.0000,29.0000,9548,95.4800,2909,6639,30.4671,49.9500
HybridAdaptive,HybridAdaptive,100,51,49,51.0000,49.0000,9381,93.8100,3000,6381,31.9795,48.6800

STRATEGY RANKING
Rank,Strategy,Games,Wins,Losses,Winrate,Shots,Hits,Misses,Accuracy,AverageWinnerShots,AverageShotsPerGame
1,HybridAdaptive,1200,1021,179,85.0833,62779,19694,43085,31.3704,52.8237,52.3158
2,HuntTarget,1200,939,261,78.2500,71651,19311,52340,26.9515,61.9350,59.7092
3,CenterBias,1200,426,774,35.5000,93903,16755,77148,17.8429,90.7160,78.2525
4,Checkerboard,1200,423,777,35.2500,93971,16261,77710,17.3043,93.1489,78.3092
5,EdgeBias,1200,399,801,33.2500,91781,15058,76723,16.4064,89.9298,76.4842
6,Random,1200,392,808,32.6667,93400,16139,77261,17.2794,93.0026,77.8333

HIT MATRIX 10x10
457,658,902,955,1046,933,928,786,711,419
607,815,960,1081,1055,1151,1027,1036,865,750
864,938,1262,1237,1360,1195,1247,1135,1036,855
901,1081,1251,1318,1233,1296,1218,1262,1018,1002
1086,1074,1311,1225,1233,1156,1321,1197,1117,1009
975,1141,1187,1286,1147,1262,1232,1273,1101,1100
1018,1054,1315,1243,1289,1272,1312,1133,1102,953
843,1023,1087,1277,1243,1303,1199,1138,967,918
698,776,1012,1026,1164,1078,1099,925,873,701
478,683,819,986,1003,1041,896,851,647,489
